date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:05:05	27670/27670	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2008:05:07%20GMT	https://thietbidienavhh.com/tin-tuc	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/tin-tuc.html	(from https://thietbidienavhh.com/)
15:05:05	23491/23491	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2008:05:07%20GMT	https://thietbidienavhh.com/lien-he	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/lien-he.html	(from https://thietbidienavhh.com/)
15:05:05	986/986	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2008%20Sep%202020%2009:25:00%20GMT	https://thietbidienavhh.com/ajax/page/ajax_page_banner.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/ajax/page/ajax_page_banner.js	(from https://thietbidienavhh.com/)
15:05:05	3022/3022	---MCZ	200	added ('OK')	text/css	date:Thu,%2010%20Sep%202020%2007:25:38%20GMT	https://thietbidienavhh.com/css/trang_chu.css	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/css/trang_chu.css	(from https://thietbidienavhh.com/)
15:05:06	5387/5387	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Sep%202020%2009:17:04%20GMT	https://thietbidienavhh.com/js/home.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/js/home.js	(from https://thietbidienavhh.com/)
15:05:06	1694/1694	---MCZ	200	added ('OK')	application/javascript	etag:W/%221694-1600328233000%22	https://cdn.bksoftwarevn.com/resources/library_js/ajax_micro_service/ajax_marketing_service.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/cdn.bksoftwarevn.com/resources/library_js/ajax_micro_service/ajax_marketing_service.js	(from https://thietbidienavhh.com/)
15:05:06	6658/6658	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Sep%202020%2010:01:44%20GMT	https://thietbidienavhh.com/ajax/page/ajax_page_trang_chu.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/ajax/page/ajax_page_trang_chu.js	(from https://thietbidienavhh.com/)
15:05:06	1904/1904	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Sep%202020%2008:12:16%20GMT	https://thietbidienavhh.com/file/icon/youtube-play.png	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/file/icon/youtube-play.png	(from https://thietbidienavhh.com/)
15:05:06	21730/21730	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2008:05:09%20GMT	https://thietbidienavhh.com/gio-hang	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/gio-hang.html	(from https://thietbidienavhh.com/)
15:05:08	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%2240567a79ecfb4fbf3e15346b373862bf%22	https://connect.facebook.net/vi_VN/sdk.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/connect.facebook.net/vi_VN/sdk.js	(from https://thietbidienavhh.com/)
15:05:09	260343/260343	---M-Z	200	added ('OK')	application/x-javascript	etag:%22246047b2dcf1abf861b7c24c337e5c8e%22	https://connect.facebook.net/vi_VN/sdk/xfbml.customerchat.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/connect.facebook.net/vi_VN/sdk/xfbml.customerchat.js	(from https://thietbidienavhh.com/)
15:05:09	4178/4178	---M--	200	added ('OK')	image/gif	date:Tue,%2001%20Sep%202020%2007:00:24%20GMT	https://thietbidienavhh.com/plugins/slick-1.8.1/ajax-loader.gif	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/plugins/slick-1.8.1/ajax-loader.gif	(from https://thietbidienavhh.com/plugins/slick-1.8.1/slick-theme.css)
15:05:10	146/146	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Dec%202020%2008:05:12%20GMT	https://thietbidienavhh.com/plugins/slick-1.8.1/fonts/slick.eot	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/plugins/slick-1.8.1/fonts/slick.eot	(from https://thietbidienavhh.com/plugins/slick-1.8.1/slick-theme.css)
15:05:10	146/146	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Dec%202020%2008:05:12%20GMT	https://thietbidienavhh.com/plugins/slick-1.8.1/fonts/slick.eot?	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/plugins/slick-1.8.1/fonts/slickd41d.eot	(from https://thietbidienavhh.com/plugins/slick-1.8.1/slick-theme.css)
15:05:10	146/146	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Dec%202020%2008:05:13%20GMT	https://thietbidienavhh.com/plugins/slick-1.8.1/fonts/slick.woff	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/plugins/slick-1.8.1/fonts/slick.woff	(from https://thietbidienavhh.com/plugins/slick-1.8.1/slick-theme.css)
15:05:10	146/146	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Dec%202020%2008:05:13%20GMT	https://thietbidienavhh.com/plugins/slick-1.8.1/fonts/slick.ttf	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/plugins/slick-1.8.1/fonts/slick.ttf	(from https://thietbidienavhh.com/plugins/slick-1.8.1/slick-theme.css)
15:05:11	2166/2166	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2001%20Sep%202020%2007:00:24%20GMT	https://thietbidienavhh.com/plugins/slick-1.8.1/fonts/slick.svg	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/plugins/slick-1.8.1/fonts/slick.svg	(from https://thietbidienavhh.com/plugins/slick-1.8.1/slick-theme.css)
15:05:11	2008/2008	---M--	200	added ('OK')	image/png	date:Tue,%2001%20Sep%202020%2007:00:24%20GMT	https://thietbidienavhh.com/file/icon/gift.png	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/file/icon/gift.png	(from https://thietbidienavhh.com/css/global.css)
15:05:12	4395/4395	---MCZ	200	added ('OK')	text/css	date:Wed,%2009%20Sep%202020%2013:09:46%20GMT	https://thietbidienavhh.com/css/gioi_thieu.css	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/css/gioi_thieu.css	(from https://thietbidienavhh.com/gioi-thieu)
15:05:12	567/567	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2007%20Sep%202020%2010:31:50%20GMT	https://thietbidienavhh.com/js/lienhe.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/js/lienhe.js	(from https://thietbidienavhh.com/gioi-thieu)
15:05:12	1707/1707	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2010%20Sep%202020%2023:58:02%20GMT	https://thietbidienavhh.com/ajax/pages/page_gioi_thieu.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/ajax/pages/page_gioi_thieu.js	(from https://thietbidienavhh.com/gioi-thieu)
15:05:12	1748/1748	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2014%20Sep%202020%2003:44:28%20GMT	https://thietbidienavhh.com/js/utils.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/js/utils.js	(from https://thietbidienavhh.com/gioi-thieu)
15:05:12	7319/7319	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Aug%202018%2004:03:34%20GMT	https://thietbidienpanasonic.com/wp-content/uploads/2018/08/bep-dien-tu-panasonic-chat-luong-300x163.jpg	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienpanasonic.com/wp-content/uploads/2018/08/bep-dien-tu-panasonic-chat-luong-300x163.jpg	(from https://thietbidienavhh.com/gioi-thieu)
15:05:13	4905/4905	---MCZ	200	added ('OK')	text/css	date:Mon,%2014%20Sep%202020%2003:44:28%20GMT	https://thietbidienavhh.com/css/common_category.css	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/css/common_category.css	(from https://thietbidienavhh.com/cong-trinh)
15:05:13	8103/8103	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2014%20Sep%202020%2003:44:28%20GMT	https://thietbidienavhh.com/ajax/pages/page_common_category.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/ajax/pages/page_common_category.js	(from https://thietbidienavhh.com/cong-trinh)
15:05:14	4591/4591	---MCZ	200	added ('OK')	text/css	date:Mon,%2014%20Sep%202020%2003:44:28%20GMT	https://thietbidienavhh.com/css/cong_trinh.css	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/css/cong_trinh.css	(from https://thietbidienavhh.com/cong-trinh)
15:05:14	2823/2823	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2010%20Sep%202020%2023:56:54%20GMT	https://thietbidienavhh.com/ajax/pages/page_cong_trinh.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/ajax/pages/page_cong_trinh.js	(from https://thietbidienavhh.com/cong-trinh)
15:05:14	2214/2214	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Apr%202018%2014:14:57%20GMT	https://thietbidienpanasonic.com/wp-content/uploads/2017/06/thiet-bi-cam-ung-panasonic-wtkg231-175x175.jpg	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienpanasonic.com/wp-content/uploads/2017/06/thiet-bi-cam-ung-panasonic-wtkg231-175x175.jpg	(from https://thietbidienavhh.com/cong-trinh)
15:05:15	63683/63683	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Jun%202017%2010:38:54%20GMT	https://thietbidienpanasonic.com/wp-content/uploads/2017/06/bao-gia-thiet-bi-dien-panasonic.jpg	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienpanasonic.com/wp-content/uploads/2017/06/bao-gia-thiet-bi-dien-panasonic.jpg	(from https://thietbidienavhh.com/cong-trinh)
15:05:15	4252/4252	---MCZ	200	added ('OK')	text/css	date:Mon,%2014%20Sep%202020%2003:44:28%20GMT	https://thietbidienavhh.com/css/tin_tuc.css	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/css/tin_tuc.css	(from https://thietbidienavhh.com/tin-tuc)
15:05:15	2917/2917	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Sep%202020%2002:28:36%20GMT	https://thietbidienavhh.com/ajax/pages/page_tin_tuc.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/ajax/pages/page_tin_tuc.js	(from https://thietbidienavhh.com/tin-tuc)
15:05:16	3119/3119	---MCZ	200	added ('OK')	text/css	date:Fri,%2011%20Sep%202020%2009:25:20%20GMT	https://thietbidienavhh.com/css/lien_he.css	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/css/lien_he.css	(from https://thietbidienavhh.com/lien-he)
15:05:16	6465/6465	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2014%20Sep%202020%2003:44:28%20GMT	https://thietbidienavhh.com/ajax/pages/page_lien_he.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/ajax/pages/page_lien_he.js	(from https://thietbidienavhh.com/lien-he)
15:05:16	564/564	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2008%20Sep%202020%2009:07:54%20GMT	https://thietbidienavhh.com/ajax/model/ajax_bk_cdn.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/ajax/model/ajax_bk_cdn.js	(from https://thietbidienavhh.com/lien-he)
15:05:16	4397/4397	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Sep%202020%2003:10:04%20GMT	https://thietbidienavhh.com/icon/zalo.png	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/icon/zalo.png	(from https://thietbidienavhh.com/lien-he)
15:05:17	2060/2060	---MCZ	200	added ('OK')	text/css	date:Thu,%2010%20Sep%202020%2007:25:38%20GMT	https://thietbidienavhh.com/css/gio_hang.css	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/css/gio_hang.css	(from https://thietbidienavhh.com/gio-hang)
15:05:17	13594/13594	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2007%20Sep%202020%2010:31:50%20GMT	https://thietbidienavhh.com/plugins/inputSpinnerBootstrap/bootstrap-input-spinner.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/plugins/inputSpinnerBootstrap/bootstrap-input-spinner.js	(from https://thietbidienavhh.com/gio-hang)
15:05:18	617/617	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2010%20Sep%202020%2003:58:12%20GMT	https://thietbidienavhh.com/js/gio_hang.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/js/gio_hang.js	(from https://thietbidienavhh.com/gio-hang)
15:05:19	4207/4207	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2010%20Sep%202020%2006:43:34%20GMT	https://thietbidienavhh.com/ajax/page/ajax_page_gio_hang.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/ajax/page/ajax_page_gio_hang.js	(from https://thietbidienavhh.com/gio-hang)
15:05:19	2027/2027	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2017%20Dec%202020%2008:05:21%20GMT	https://thietbidienavhh.com/^([^:/?	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/^([^_/indexd41d.html	(from https://connect.facebook.net/vi_VN/sdk/xfbml.customerchat.js)
15:05:19	943/943	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2008:05:21%20GMT	https://thietbidienavhh.com/restserver.php	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/restserver.html	(from https://connect.facebook.net/vi_VN/sdk/xfbml.customerchat.js)
15:05:19	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Dec%202020%2008:05:22%20GMT	https://thietbidienavhh.com/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from https://connect.facebook.net/vi_VN/sdk/xfbml.customerchat.js)
15:05:20	943/943	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2008:05:22%20GMT	https://thietbidienavhh.com/GET	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/GET.html	(from https://connect.facebook.net/vi_VN/sdk/xfbml.customerchat.js)
15:05:20	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Dec%202020%2008:05:22%20GMT	https://thietbidienavhh.com/dialog/	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/dialog/index.html	(from https://connect.facebook.net/vi_VN/sdk/xfbml.customerchat.js)
15:05:20	2028/2028	---MCZ	200	added ('OK')	text/css	date:Tue,%2008%20Sep%202020%2012:26:32%20GMT	https://thietbidienavhh.com/css/404.css	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/css/404.css	(from https://thietbidienavhh.com/restserver.php)
15:05:21	48558/48558	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Sep%202020%2010:31:50%20GMT	https://thietbidienavhh.com/file/icon/text.png	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/file/icon/text.png	(from https://thietbidienavhh.com/css/404.css)
